strike,expiry,moneyness,time_to_expiry,bid,ask,impliedVolatility,openInterest,volume,option_type
7590.0,2026-07-08,1.011480760039524,-0.0027397260273972603,0.1,0.15,0.09595630615234377,1904.0,405.0,call
7595.0,2026-07-08,1.0121470846508807,-0.0027397260273972603,0.05,0.15,0.10071700073242187,2563.0,138.0,call
7600.0,2026-07-08,1.0128134092622374,-0.0027397260273972603,0.05,0.1,0.10035079345703124,3791.0,333.0,call
7605.0,2026-07-08,1.0134797338735941,-0.0027397260273972603,0.05,0.1,0.10474528076171874,991.0,50.0,call
7610.0,2026-07-08,1.0141460584849509,-0.0027397260273972603,0.05,0.1,0.10938390625,1229.0,210.0,call
7615.0,2026-07-08,1.0148123830963076,-0.0027397260273972603,0.05,0.1,0.1137783935546875,2040.0,132.0,call
7620.0,2026-07-08,1.0154787077076644,-0.0027397260273972603,0.0,0.1,0.11841701904296875,1544.0,45.0,call
7625.0,2026-07-08,1.016145032319021,-0.0027397260273972603,0.05,0.1,0.12281150634765625,9967.0,92.0,call
7630.0,2026-07-08,1.0168113569303778,-0.0027397260273972603,0.0,0.1,0.12720599365234375,2067.0,52.0,call
7635.0,2026-07-08,1.0174776815417346,-0.0027397260273972603,0.0,0.1,0.13160048095703125,929.0,35.0,call
7640.0,2026-07-08,1.0181440061530913,-0.0027397260273972603,0.0,0.1,0.13599496826171875,3499.0,36.0,call
7645.0,2026-07-08,1.018810330764448,-0.0027397260273972603,0.0,0.1,0.14038945556640625,376.0,29.0,call
7650.0,2026-07-08,1.0194766553758048,-0.0027397260273972603,0.0,0.1,0.14478394287109375,2814.0,54.0,call
7655.0,2026-07-08,1.0201429799871615,-0.0027397260273972603,0.0,0.1,0.14917843017578125,372.0,23.0,call
7660.0,2026-07-08,1.0208093045985183,-0.0027397260273972603,0.0,0.05,0.14258669921875,1708.0,331.0,call
7665.0,2026-07-08,1.021475629209875,-0.0027397260273972603,0.0,0.05,0.1469811865234375,455.0,58.0,call
7670.0,2026-07-08,1.0221419538212317,-0.0027397260273972603,0.0,0.05,0.15088739746093754,1183.0,132.0,call
7675.0,2026-07-08,1.0228082784325885,-0.0027397260273972603,0.0,0.05,0.15479360839843753,8260.0,118.0,call
7680.0,2026-07-08,1.0234746030439452,-0.0027397260273972603,0.0,0.05,0.159188095703125,1535.0,428.0,call
7685.0,2026-07-08,1.024140927655302,-0.0027397260273972603,0.0,0.05,0.16309430664062502,377.0,2.0,call
7690.0,2026-07-08,1.0248072522666587,-0.0027397260273972603,0.0,0.05,0.16700051757812504,910.0,227.0,call
7695.0,2026-07-08,1.0254735768780154,-0.0027397260273972603,0.0,0.05,0.17090672851562502,194.0,124.0,call
